name,system,rating,genre,release_date,last_played,image_url
Metroid Dread,Nintendo Switch,Good,Action-Adventure|Metroidvania,2021-10-08,2021-10-08,https://images.igdb.com/igdb/image/upload/t_cover_big/co935n.jpg
Minecraft,Computer,Great,Sandbox|Survival,2011-11-18,2011-11-18,https://images.igdb.com/igdb/image/upload/t_cover_big/co8fu7.jpg
Multiversus,PS5,Okay,Fighting,2024-07-19,2024-07-19,https://images.igdb.com/igdb/image/upload/t_cover_big/co7yle.jpg
Nintendo Land,Nintendo Wii U,Great,Party,2012-11-18,2012-11-18,https://images.igdb.com/igdb/image/upload/t_cover_big/co1p9c.jpg
Octopath Traveller,Nintendo Switch,Good,RPG,2018-07-13,2018-07-13,https://images.igdb.com/igdb/image/upload/t_cover_big/co4kap.jpg
Pac-Man Fever,Nintendo GameCube,Okay,Party,2002-09-03,2002-09-03,https://images.igdb.com/igdb/image/upload/t_cover_big/co2dz7.jpg
Pac-Man World 2,Nintendo GameCube,Good,Platform,2002-02-24,2002-02-24,https://images.igdb.com/igdb/image/upload/t_cover_big/coa8l2.jpg
Paper Mario The Origami King,Nintendo Switch,Bad,RPG|Action-Adventure,2020-07-17,2020-07-17,https://images.igdb.com/igdb/image/upload/t_cover_big/cob89j.jpg
Phoenix Wright Ace Attorney Trilogy,Nintendo Switch,Good,Adventure|Visual Novel,2012-02-07,2012-02-07,https://images.igdb.com/igdb/image/upload/t_cover_big/coa7iv.jpg
Pikmin 2,Nintendo GameCube,Good,Real-time Strategy|Puzzle,2004-08-30,2004-08-30,https://images.igdb.com/igdb/image/upload/t_cover_big/co5y6q.jpg
Pikmin 3 Deluxe,Nintendo Switch,Good,Real-time Strategy|Puzzle,2020-10-30,2020-10-30,https://images.igdb.com/igdb/image/upload/t_cover_big/co8grk.jpg
Pikmin 4,Nintendo Switch,Great,Real-time Strategy,2023-07-21,2023-07-21,https://images.igdb.com/igdb/image/upload/t_cover_big/coba9h.jpg
Pikmin,Nintendo GameCube,Good,Real-time Strategy|Puzzle,2001-10-26,2001-10-26,https://images.igdb.com/igdb/image/upload/t_cover_big/co6nqg.jpg
Pokemon Legends ZA,Nintendo Switch 2,Good,Action RPG,2025-10-16,2025-10-16,https://images.igdb.com/igdb/image/upload/t_cover_big/co9wzc.jpg
